Div,Team,ELO,Goals scored,Goals conceded,Goals difference,Points,Change in ELO,Opposition mean ELO,Shots on target attempted,Shots on target allows,Shots attemped,Shots allowed,Corners awarded,Corners allowed,Fouls commited,Fouls suffered,Yellow cards,Red cards
SP1,Getafe,1482.0559976998052,3.0,4.0,-1.0,6,-4.579845384873806,1625.441508178344,15.0,13.0,50.0,42.0,17.0,20.0,95.0,66.0,16.0,0.0
SP1,Real Madrid,1819.8899188917796,12.0,5.0,7.0,10,-10.80576118828003,1555.6015587162005,31.0,15.0,62.0,45.0,17.0,20.0,42.0,88.0,9.0,0.0
SP1,Leganes,1526.5989622515658,3.0,7.0,-4.0,7,27.895915951530014,1650.9935285236875,13.0,27.0,35.0,82.0,17.0,34.0,64.0,56.0,12.0,0.0
SP1,Alaves,1498.1573278218857,5.0,9.0,-4.0,3,6.243464645593576,1632.0401599458205,17.0,24.0,43.0,55.0,20.0,32.0,83.0,80.0,12.0,0.0
SP1,Ath Madrid,1752.1033215981192,13.0,4.0,9.0,15,4.579845384873806,1497.8530417741,31.0,12.0,58.0,36.0,25.0,16.0,69.0,58.0,15.0,0.0
SP1,Vallecano,1513.8059164801184,6.0,7.0,-1.0,5,7.386967676953191,1621.1138092050167,14.0,27.0,54.0,64.0,19.0,34.0,73.0,45.0,17.0,1.0
SP1,Girona,1612.9920346219553,8.0,8.0,0.0,7,-17.78530351768245,1594.394391130158,18.0,14.0,51.0,48.0,23.0,14.0,53.0,69.0,14.0,0.0
D1,M'gladbach,1550.2330708242523,8.0,5.0,3.0,8,8.659605169809993,1560.3276415850746,21.0,20.0,68.0,70.0,27.0,22.0,54.0,52.0,8.0,1.0
D1,Augsburg,1512.4397601846729,3.0,7.0,-4.0,5,-6.521695785604834,1636.5705477456347,16.0,24.0,50.0,81.0,20.0,28.0,54.0,60.0,12.0,1.0
D1,Freiburg,1589.6868422804177,7.0,8.0,-1.0,8,13.638526936333164,1575.6162897707352,27.0,27.0,67.0,81.0,11.0,29.0,33.0,49.0,8.0,2.0
D1,Hoffenheim,1534.3472295468725,6.0,7.0,-1.0,6,8.225370423086588,1611.9862261207713,17.0,24.0,68.0,65.0,28.0,25.0,53.0,55.0,11.0,0.0
D1,Mainz,1599.1974370173286,13.0,6.0,7.0,12,22.786256999761008,1604.4167507497841,33.0,11.0,69.0,42.0,30.0,10.0,73.0,50.0,11.0,0.0
D1,RB Leipzig,1696.9134018754191,8.0,10.0,-2.0,7,12.851161787365527,1534.7733075264557,28.0,27.0,62.0,80.0,25.0,24.0,65.0,48.0,9.0,0.0
D1,Dortmund,1665.3327768050651,8.0,6.0,2.0,6,-8.225370423086588,1593.0402830013334,15.0,21.0,50.0,55.0,16.0,27.0,47.0,54.0,11.0,1.0
